Title,Price
LA-A901P Motherboard for Dell Latitude,$75
Juniper EX3300-48T 48-Port 10/100/1000BaseT with 4 SFP+ 1/10G Ports,$300
ASRock Fatal1ty B450 GAMING K4 ATX motherboard,$105
AMD A8 3870K CPU - Brand new still sealed,$125
Asus HD6450 GPU Video Card,$25
AMD Ryzen motherboard & CPU combo for sale,$0
Computer PC case watercooling DDC pump and XSPC DDC Tank Reservoir,$0
Custom Windows 10 Computer,$100
Brand New- Computer Desk with 2 Drawers and Cabinet- Retails for 340,$225
Computer Desk Cart w/ Keyboard Tray on Wheels - NEW IN BOX ($169+ reg),$100
Computer Monitors,$25
48 in Rustic Oak 2 Drawer Writing or Computer Desk with Storage,$150
"Intel Ivy Bridge Quad-Core CPU, Mobo & Memory bundle",$0
Samsung 970 EVO plus 1TB NVMe SSD,$0
Lot of misc. PC computer case fans for sale,$0
HIS Radeon HD 6450 video card,$0
EK full cover acetal+nickel waterblock for GPU video graphics card,$0
AMD Ryzen 7 3700X Matisse 3.6GHz 8-Core CPU,$0
Box of Sata Hard Drives for sale now!!!!!!!!!,$20
DDR3 RAM lot | 244x2Gb 1333MHz (10600U) | Untested,$475
G.Skill Sniper 2x4Gb DDR3-1866 | Untested,$25
6 - LASER PRINTER CARTRIDGES,$60
3 good working laptop 80gb SATA hard drives,$20
Power Purifier / Surge Protector - Bantam PP300,$50
"LaCie 6big 60TB External USB Thunderbolt 3 Hard Drive, PC or Mac, RAID",$2200
Razer BlackWidow Chroma V2 with Logitech G900 Wireless Gaming Mouse,$80
Fellowes 93841 Adjustable Keyboard Drawer,$25
Antec ISK 600 Case,$50
Glass Top Computer Desk,$0
Dell MH596 New Genuine OEM Optiplex PSU,$40
GIGABYTE GA-Z270X Ultra Gaming motherboard,$0
Intel i7 7700K CPU - Brand new still sealed,$321
"Koolance RP-452X2 rev 1.2 Dual 5.25"" Bay Reservoir for D5 PC computer",$0
Feser (TFC) X-Changer 480 PC watercooling radiator computer case,$0
"22"" Computer Monitor",$35
Computer desk armoire,$125
PC towers and parts,$20
Computer parts,$0
Lot of Laptop Memory ddr2 ddr3 1gb 2gb 4gb,$60
NEW Dell Inspiron laptop 1545 and 1525 batteries,$10
"4GB total, matched 2GB pairs DDR3 SoDimm Memory for Laptop",$10
Laptop AC adapters $2 and up,$2
